Id,SalePrice
607,151245.21875
1211,196879.921875
493,175428.9375
411,94673.2734375
397,131022.828125
1116,313529.84375
1239,131022.828125
1151,123414.3125
1276,149282.984375
72,120611.171875
1395,215808.46875
1359,171319.03125
678,109308.25
1345,181222.5625
352,205580.28125
102,165583.78125
1323,223058.78125
644,149282.984375
841,131022.828125
1098,163740.375
821,195982.59375
612,152741.84375
1099,114236.640625
142,236152.25
611,340449.71875
810,123414.3125
147,114099.453125
112,175428.9375
1122,210671.78125
1295,118441.7734375
1294,177286.90625
1139,206552.078125
569,310954.375
1055,266404.28125
253,177199.34375
964,257850.046875
1353,129404.75
505,139710.5
948,266404.28125
801,195982.59375
618,118441.7734375
972,178250.53125
649,163740.375
489,123414.3125
327,313529.84375
507,223058.78125
1307,197489.203125
295,163740.375
325,250460.09375
942,223625.34375
721,249241.546875
831,160644.546875
1364,163740.375
949,205580.28125
10,118441.7734375
465,115793.640625
250,263882.0
468,152741.84375
1316,184740.3125
1083,189292.390625
1054,152741.84375
1343,257850.046875
64,138219.703125
1390,132823.171875
18,114099.453125
416,188264.9375
906,129404.75
371,177199.34375
1086,151245.21875
370,163740.375
685,219502.359375
349,184740.3125
260,114202.328125
1193,129404.75
186,313529.84375
119,282316.59375
894,152741.84375
563,114236.640625
201,138219.703125
211,92936.1875
362,138219.703125
665,399055.84375
96,177286.90625
379,359382.3125
643,353070.71875
44,130433.8671875
1315,115793.640625
780,149282.984375
826,404081.84375
737,83378.8125
1229,349339.5625
1392,137784.59375
799,400976.625
1171,150105.0
961,118441.7734375
1455,184740.3125
413,250460.09375
446,156083.203125
594,138219.703125
667,196879.921875
207,138769.953125
1078,137475.890625
14,214234.625
1403,180204.875
714,117010.9765625
573,235086.703125
1082,124759.34375
35,308744.375
1112,198273.5
588,132238.984375
99,72930.7890625
656,83628.953125
1153,219155.765625
341,219502.359375
469,250460.09375
1400,149282.984375
787,120611.171875
1023,113342.9921875
929,253985.875
1312,205580.28125
1408,115297.109375
502,215029.03125
1038,257850.046875
373,118441.7734375
666,253985.875
351,266556.75
187,177286.90625
59,377240.9375
673,169444.734375
1419,131022.828125
25,150554.875
111,138219.703125
16,138219.703125
395,115297.109375
415,241432.671875
1339,223058.78125
475,264400.9375
1248,149282.984375
1000,189292.390625
1250,123414.3125
670,114236.640625
427,249556.21875
100,115488.0390625
719,331053.15625
47,266404.28125
390,404081.84375
